name,alexa_rank,city,state,country,hq,website,employees_on_linkedin,followers,founded,industry,linkedin_url,overview,ownership_type,sic_codes,size,specialties,total_funding,technologies,company_hubs,events,categories,type
Oyster Lab by Alpiq,,,,Switzerland,Switzerland,https://www.oysterlab.ch/,5,0,2017,Renewables & Environment,https://www.linkedin.com/company/oyster-lab,"We're a cleantech incubator.

We solve consumer problems and hope to make the world a 🌱greener place.",Privately Held,,11-50 employees,,0,,,,"Software, CleanTech, Energy, Consumer,",B2C
TOKEO,,,,Poland,Poland,http://www.tokeo.pl,3,42,2014,Internet,https://www.linkedin.com/company/tokeo,"The basic goal of TOKEO is to connect internet users with professional advisors and experts through video chat, chat, email or phone. We're launching our portal very soon on polish B2C and B2B market, so see you in early 2015!

Don't hestiate to contact us: biuro@tokeo.pl",Public Company,,2-10 employees,"Video Chat, Online Problem Solving, Live Experts, Online Advising",187500,,,,"Internet, Video Chat, ,",B2B B2C
Hexonys,,,,,Ontex,http://www.hexonys.com,0,5,2015,Market Research,https://www.linkedin.com/company/hexonys,"Hexonys is a consulting company specialised  in B2B market and product development.
Our focus is on construction materials, composites and technical textiles.
With an international reach, we cover market & industrial topics focusing on business growth.
We offer market studies, turnkey projects and commercial agency.",Privately Held,,0-1 employees,"Market studies, Construction materials, Commercial agent, Product and market development, Fibres and Technical textiles, Functionnal analysis and product specification, Industrial and production capabilities audits, Raw material purchasing optimisation, and gypsum facing",0,,,,"Consulting, , Market Research",B2B
Meerkat,,Porto Alegre,State of Rio Grande do Sul,Brazil,"Porto Alegre, Rio Grande do Sul",https://unico.io/,0,615,2015,Computer Software,https://www.linkedin.com/company/meerkat-soluções-em-visão-computacional,"We are a startup specialized in research, development and implementation of state of the art solutions in computer vision. We are working with facial recognition, people tracking, gender, age and facial expression inference. Ours projects will allow companies to understand people and give data to create value to their customers. Meerkat is not only about technology, it is also about people and how they perceive things. We have three main passions: innovation, technology and people. Our main motivations is to bring academic state-of-the-art methods to simple and powerful products and close the gap between research and market. Now, we are about to launch our first API. It is, also, the first face recognition API 100% developed in Brazil. And you will have the opportunity to make use of a high quality computer vision service anywhere in the world. Interessados: contato@meerkat.com.br",Privately Held,,2-10 employees,"Machine Learning, Visão Computacional, Processamento de Imagens, and computer vision",0,"New Relic, Mailgun, Zendesk",,,"Artificial Intelligence, Software, Image Recognition, , Machine Learning",B2B
DesignerShare,,Chicago,Illinois,United States,"Chicago, Illinois",http://www.designershare.com,2,85,2015,Apparel & Fashion,https://www.linkedin.com/company/designershare,DesignerShare is the first truly peer-to-peer marketplace for women to rent their designer clothing and accessories to one another.,Privately Held,,2-10 employees,,0,"Braintree, MailChimp, WooCommerce",,,"Rental, Fashion,",B2C
Running Specialty,130653,Denver,Colorado,United States,"Denver, CO",http://www.JackRabbit.com,182,4411,2012,Sporting Goods,https://www.linkedin.com/company/running-specialty-group-rsg-,"Running Specialty Group | 4,379 followers on LinkedIn. JackRabbit - Where FIT Happens.

Denver-based JackRabbit, previously referred to as Running Specialty Group (RSG), is an active lifestyle retailer of precision-fitted shoes, apparel and accessories. This includes 65 specialty running stores in 17 states and the District of Columbia under the JackRabbit, The Running Company, Run On!",Public Company,,501-1000 employees,"Community, Fitness, Gait Analysis Services, Running Specialty Retail",0,"Amazon Cloudfront, Amazon Web Services, Bloomreach, Magento, New Relic, Salesforce, YouTube, Zendesk Support, BambooHR, Google AdWords, Microsoft Office 365, Zendesk",,,"Information Technology, Consulting, Small and Medium Businesses,",B2B
PriceFlux,,,,,,https://priceflux.net,4,19,,Internet,https://www.linkedin.com/company/priceflux,,Privately Held,,2-10 employees,,0,,,,"Internet, Information Technology, Software, E-Commerce, SaaS,",B2B
Corporate Research and Investigations,,London,England,United Kingdom,"London, England",http://www.crigroup.com,94,38334,1990,Security and Investigations,https://www.linkedin.com/company/corporateresearchandinvestigations,"Corporate Research and Investigations | 38,347 followers on LinkedIn. A global leader in risk management, background screening and due diligence solutions.  | Corporate Research and Investigations Limited is a global provider of investigative research, background screening and business due diligence services for the world’s leading business organisations. As one of the most respected names in global risk management, CRI Group protects the business interests of organisations worldwide. The purpose of our company is to provide the knowledge, systems and solutions that fortify worldwide business integrity and preserve the global marketplace.",Privately Held,,51-200 employees,"Forensic Accounting, Due Diligence, Fraud, Background Checks, Background Investigations, Compliance Solutions, Background Screening, Third Party Risk Management, Investigative Due Diligence, Market Research and Analysis, Fraud Risk Investigations, Integrity Due Diligence, Anti-Corruption, Corruption, Investigative Research, and Risk Management, Anti-Bribery, ISO 37001, Employment Screenings",0,"HubSpot, YouTube, Zendesk Chat, Zendesk JavaScript API, Zendesk Support, Zendesk",,,"Information Technology, Human Resources,",B2B
Ikon Associates,,Paris,Île-de-France,France,Paris,http://www.labgency.com,15,47,2011,Broadcast Media,https://www.linkedin.com/company/ikon-associates,"Ikon Associates distributes software products and provides expertise on fast growing digital, multimedia and rich media projects. 
Its know-how on user experience on multi screens and advanced hardware/software architecture, embedded software, enables its customers to architect and market video and TV services, mobile entertainment and signal processing projects and products. 
Its intimate knowledge of telecom operators, content aggregators, mobile value chain, embedded SoC base architecture; its references and eco-system makes Ikon Associates a very much appreciated partner. 

Ikon Associates is Microsoft Playready final distributor. Ikon Associates, together with its partner Labgency, markets and supports deployment of first streaming and downloadable Premium VOD solution, allowing connected and non-connected movies consumption modes. 

Write to: contact@ikon-a.com 
Follow Twitter @ikonassociates

Laurence Fornari Dirigeante/CEO, digital expert & consultant, #multiscreen #tv #vod #svod #mobiletv #mobile @ikonassociates #mediaconsulting #digitalstrategy #businesscoaching",Privately Held,,2-10 employees,"user interface, embedded software, Video, IPTV, TV, Mobile, VOD, applications, connected TV, Live, mobile entertainment, OTT, Multi-screens",0,,,,", Content",B2B
Lingua Franca Search,,McLean,Virginia,United States,"McLean, Virginia",http://www.lfsearch.com,6,218,,Staffing and Recruiting,https://www.linkedin.com/company/lingua-franca-search,Lingua Franca is a boutique executive and professional level search firm that places experienced candidates in data and analytics roles. We are former industry executives with 20+ years of analytical and executive experience leading large and small firms where strong analytics are a foundation for success. This practical experience allows us to understand and define the essential skills and competencies needed to drive distinct value in industries and companies that demand strong analytical capabilities.,Privately Held,,2-10 employees,"Executive Search, Professional Search, Talent Needs Assessment",0,,,,"Consulting, Human Resources, Big Data,",B2B
Goias Insurance Corretora De Seguros,,Goiânia,State of Goiás,Brazil,"Goiania, Go, Brazil",http://goiasinsurance.com.br,2,1,,Insurance,https://www.linkedin.com/company/goias-insurance-corretora-de-seguros,"Goias Insurance Corretora De Seguros is an insurance company based out of R Castro Alves, 482, Quadra: V-19; Lote: 04;, Goiania, Go, Brazil.",,,,,0,,,,"Internet, Software, Insurance, ,",B2B B2C
Busimix,,New York,New York,United States,"New York, NY, United States",http://www.busimix.com,0,8,2013,Internet,https://www.linkedin.com/company/busimix,"Busimix is a testimonial and referral management service for businesses to grow their client base. 

Through Busimix businesses can easily collect testimonials from their clients and let Busimix verify their sources as a third party. Businesses can also create referral campaigns and incentivize their clients to bring in more clients for their business.",Partnership,,2-10 employees,"small business, customer references, customer referral program",0,,,,"Advertising,",B2B
UtilityAPI,,Oakland,California,United States,"Oakland, CA",http://utilityapi.com,11,887,2014,Computer Software,https://www.linkedin.com/company/utilityapi,"Everyone in the energy ecosystem needs easy access to secure data from a system that works. UtilityAPI is that system. 

Hundreds of energy vendors use us every day to request and download utility customer bill and interval data. Our customers use the data to do feasibility analyses, quote generation, asset management, and measurement and verification. 

Utilities use us to offer a certified Green Button Connect service to their customers or to gain insight into third party data access. We're able to offer critical vision and engagement beyond the grid edge.

Our Culture
We're fortunate at UtiltiyAPI to get to be mission-driven. We know that access to data from utilities is a pain-point for our customers, and we're helping them with it. We want our customers to get the data they need for their renewable energy, energy efficiency and their energy management projects. That sense of purpose informs everything we do, and it's the basis for the culture here.

Our Team
We value the insights that a diverse team can bring. The leadership here barely has any demographic in common, and we are making a conscious effort to build an inclusive environment.

UtilityAPI is jointly run by Daniel Roesler, Founder and CTO, Lynne Wander, COO, and Devin Hampton, CEO.",Privately Held,,11-50 employees,"Data, Solar, Energy efficiency, Energy storage, Distributed Energy Resources, and API",1769000,"MailChimp, Marketo, Next.js, Stripe, Tawk.to, YouTube, Zendesk Support, Amazon SES, Pure Chat, Tidio, Zendesk, Zuora",,,"Information Technology, Software, Energy Management, Developer APIs, Energy Efficiency, Solar, Enterprise Software, , Energy Storage, Asset Management",B2B
Jacobs Marketing Solutions,,Jackson,Mississippi,United States,"Jackson, Mississippi",http://jacobsmarketingsolutions.com/,21,127,2018,Marketing and Advertising,https://www.linkedin.com/company/jacobsmarketingsolutions,"Highly growth-focused, Jacobs Marketing Solutions is a top performing marketing and sales consulting firm representing large corporations in the telecommunications industry. We connect our major clients directly with their target customers to ensure that their direct marketing campaigns are successful. Our expertise lies in our face-to-face sales approach, putting a personal touch on the process. All of our sales consultations are delivered in-person, rather than over the phone or through email.

Presently, Jacobs Marketing Solutions represents the world's leading telecom provider, and our top-notch team members serve as the faces behind its brand. Our highly trained marketing and sales consultants work with qualified residential consumers in the Jackson, Mississippi area to set them up with our client's superior products and services.

Long-term careers and growth opportunities are also on the rise at Jacobs Marketing Solutions! As we help our clients to expand, we are rapidly expanding as well. We are now seeking entry level individuals who are looking to grow within our firm and move into leadership roles. Would you like to be a part of the growth? Contact our Human Resources Department at contact@jacobsmarketingsolutions.com. To learn more about our culture and our team, be sure to follow us on Twitter! @JacobsMktgSltns",Privately Held,,11-50 employees,"Sales, Consulting, Customer Acquisition, Leadership, Marketing, Business",0,"FrontPage, HubSpot",,,"Consulting, Marketing, Sales, Telecommunications, Legal, Customer Service,",B2C
Iconic Consulting Tulsa,,Tulsa,Oklahoma,United States,"Tulsa, Oklahoma",https://iconicconsultingtulsa.com,1,76,2019,Marketing and Advertising,https://www.linkedin.com/company/iconic-consulting-tulsa,"Iconic Consulting Tulsa is a prominent company that specializes in brand marketing, business-to-consumer sales, and customer acquisition. We represent the frontrunners of the telecommunications industry, aiding in their direct marketing campaigns and market expansion. These elite clients choose to work with us due to our commitment to professionalism and tangible results. 

As the face of our esteemed clientele, it is our responsibility to create tangible results every quarter, and we have done just that! Iconic Consulting Tulsa conducts all of its business face-to-face to create a clear line of communication with its clients' customers and increase their market share. We pride ourselves on the work that we do and have created a culture that stimulates growth, entrepreneurial spirit, and ambition, allowing us to create results you can trust. 

Our main goal at Iconic Consulting Tulsa is to create a career filled with growth and success for all of our team members. For this reason, we believe in long-term leadership development through our Management Training Program. We believe ongoing training is vital to the professional development of our team, and it has become crucial to delivering the high-quality results we are known for. We strive to showcase each individual's strengths and talents, and we reward our team based on merit rather than seniority.",Privately Held,,11-50 employees,", Sales, Consulting, Leadership, Marketing, Business",0,YouTube,,,"Consulting, Marketing, Sales,",B2C
Obbo,,,,Singapore,"Singapore, Singapore",https://obbo.sg,22,184,2018,Computer Software,https://www.linkedin.com/company/obbo-marketplace,"We are Singapore’s fastest growing and largest B2B marketplace. Our eCommerce platform currently powers thousands of brick-and-mortar, offline small-to-medium (SME) enterprises & we are growing our buyers and sellers’ count on a daily basis, focusing on growing and dominating the manufacturing landscape.

Today, we have expanded beyond the industrial & manufacturing sector – building traction & growth in automotive, maintenance, repair & operations (MRO), health & pharmaceutical, agriculture, computing, electrical, F&B, packaging & material handling. As the company’s name states for itself, Obbo is the acronym for Offline Businesses Backed Online. We envision to grow and unlock a trans-formative environment for businesses to do business digitally and globally.",Privately Held,,11-50 employees,,0,"Google Cloud, Magento, Google Cloud DNS",,,"Marketplace,",B2B
SnapWidget,2463,Centurion,Gauteng,South Africa,"Centurion, Gauteng, Canada",https://snapwidget.com,0,8,2015,Information Technology and Services,https://www.linkedin.com/company/snapwidget,"SnapWidget is the best way to display your Instagram, Twitter and Facebook photos on your website or blog. We offer customizable photo and video widgets for Instagram, Twitter and Facebook.",Privately Held,,2-10 employees,,0,"Laravel, New Relic",,,"Internet, Software, Social Media,",B2B
RISC,,West Perth,Western Australia,Australia,"West Perth, Western Australia",http://www.riscadvisory.com,35,2781,1994,Oil & Energy,https://www.linkedin.com/company/risc,"RISC is an independent advisory firm offering the highest level of technical and commercial advice to a broad range of clients in the energy industries. We work in partnership with operators, non-operators, banks and private equity firms to support their interests in energy projects around the world.

Using highly experienced staff from our offices in London, Perth, Brisbane and South East Asia, we provide a more comprehensive, reliable and respected opinion faster than anyone else in the industry. RISC’s independent and practical perspective helps our clients to understand the uncertainties, risks, opportunities and challenges associated across the entire project lifecycle, enabling them to make their decisions with confidence.",Partnership,,11-50 employees,Oil and Gas Consultants and Oil and Gas Advisory,0,,,,"Consulting, Energy, Oil and Gas,",B2B
Revo Capital,,Istanbul,Istanbul,Turkey,"İstanbul, Turkey",http://www.revo.vc,14,6068,2013,Venture Capital & Private Equity,https://www.linkedin.com/company/revo-capital,"We are a venture capital fund investing in truly innovative, seed & early-stage B2B or B2C technology ventures in Turkey and Central/Eastern Europe. 

We only focus on a limited subset of business areas:
B2B Cloud: Today’s small/medium businesses and enterprises are forming/transforming their IT infrastructure with the help of cloud. This area covers all cloud-based enterprise support services and emerging ICT solutions.
Internet of Things: Distributed businesses are now able to track and manage their operations, thanks to connectivity and M2M applications. Personal network of devices are also growing. This area covers all machine-to-machine solutions or any connected hardware products.
Neo-Commerce and Enablers: eCommerce requires a ‘neo’ approach. This area covers truly disruptive digital commerce services that go beyond a typical e-retail store OR any enabler platform supporting the digitization of commerce.",Privately Held,,2-10 employees,,0,"Amazon Cloudfront, Amazon Web Services",,,"Venture Capital, ,",B2B B2C
UnderBuilt,,Los Angeles,California,United States,"Los Angeles, CA",http://underbuilt.com,0,0,2012,Real Estate,https://www.linkedin.com/company/underbuilt-llc,"UnderBuilt™ sells residential property reports showing what’s built on a parcel and what can be built per today’s standards and codes. This is priceless information for realtors, developers, architects, and homeowners, as it shows the potential value of a property while saving you time, energy, and money. 

OUR MISSION

Our mission at UnderBuilt™ is to offer immediate and accurate property potential data (maximum building size) to professionals in the real estate brokerage, design, development, and construction industries. We sell individual reports, monthly memberships and licensing to affiliated businesses. 

PROBLEM

Previously, to find max build size, you'd have to spend hours researching codes by combing through hundreds of pages on city or county websites. Then you’d have to crank out the math or take half a business day to go down to planning departments to verify. Sometimes an architect or another professional are even hired to consult and confirm the information is correct.

SOLUTION

Enter UnderBuilt™. Our easy-to-use interface lets you type in an address or APN into an intuitive map-based search system to get a detailed property report—instantly.",Privately Held,,2-10 employees,"Real Estate, Research, Housing, Due Diligence, Developement",0,"Intercom, MailChimp, Stripe, Nodejs, Expressjs, LinkedIn Ads",,,"Software, Real Estate, Big Data,",B2B
Akonect,,,,Unknown,Unknown,http://akonect.com,0,44,2015,Information Technology and Services,https://www.linkedin.com/company/akonect,"Akonect is a Funded Tech startup which is currently working on a cross platform communication application for Businesses , Institutions and other highly productive teams .",Privately Held,,11-50 employees,"Product Based APP development, Service Based APP development",0,"Amazon S3, Java",,,"Software, Enterprise Software, SaaS,",B2B
PRIV,337793,Los Angeles,California,United States,"Los Angeles, California",http://www.gopriv.com,469,2358,2013,"Health, Wellness and Fitness",https://www.linkedin.com/company/priv,"Priv is the leading technology driven beauty and wellness app providing luxury experiences straight to your door on-demand. Our mission is to build an empowered community of clients and professionals to re-imagine the salon experience in-home. Clients can download the Priv app and book personalized services such as blowouts, makeup, nails, massages, haircuts, spray tans, fitness and grooming for men and women in the comfort of their home, office, hotel, or any other location. Priv services can be booked on our app, which is available on iOS and Android devices, and our website. We want our clients to be beautiful, be well, be fit and be good to themselves. For more information, visit www.gopriv.com.",Privately Held,,11-50 employees,,4300000,"Braintree, Intercom, Segment, Kochava, Google AdWords",Companies with HQ in the USA with employees outside of the USA,,"Wellness, iOS, Events, Health Care, Beauty, Android, , Personalization,",B2B B2C
Cargobase,,,,Singapore,"Singapore, Singapore",http://www.cargobase.com,21,1371,2013,Logistics and Supply Chain,https://www.linkedin.com/company/cargobase,"Cargobase is a logistics technology company whose focus is on ad hoc freight, a fast-growing logistics niche. Launched in 2014, Cargobase teamed up with Fortune 500 companies and rebuilt the entire ad hoc freight process from the ground up.

The result is an online platform - that supports shippers and providers alike - to manage entire ad hoc freight transactions. This includes quoting, approval, tracking, invoice audit, freight payment and reporting. 


About Ad-hoc Freight
Ad hoc freight is any freight service that falls outside the regular, pre-planned supply chain, usually procured through a spot-buy process. Typically, ad hoc freight is associated with high costs and inferior management, and puts supply chains at risk. 

Ad hoc freight is a multi-billion-dollar market; companies across various industries spend $350 billion per year on it - a number that is currently growing, due to shorter product life-cycles, demand driven production and more complex products.",Privately Held,,11-50 employees,"SaaS, Analytics, Air Freight, Marketplace, Logistics Management, Tracking, Software, Mobile, Logistics, Transport Management System, Ocean Freight, Road Freight, Charters, project freight, Ad hoc Freight, and Cloud-based, expedites, On-Demand Freight, Parcel / Courier, Platfrom, Spot Buy Freight",2398400,"Amazon Web Services, HubSpot, Intercom, MailChimp, Stripe, Hubspot Form Builder, Hubspot Sales Hub, Hubspot SPF, Amazon Route 53, LinkedIn Ads, Google AdWords","Startups hiring Remotely in 2020 - by Remotive.io, Pangian - Companies working remotely in 2020, 500 Startups Portfolio",,"Software, Logistics, Enterprise, Enterprise Software, Supply Chain Management, SaaS, , Transportation",B2B
Kuorrokveik Adventure Capital,,Stockholm,Stockholm County,Sweden,"Stockholm, Stockholms län, Sweden",http://www.adventurecapital.se,0,45,2017,Venture Capital & Private Equity,https://www.linkedin.com/company/kuorrokveik-adventure-capital,"Innovation happens everywhere. But equity distribution is an unequal affair.
Our mission is to create value off the beaten track.

At Kuorrokveik Adventure Capital we strongly believe that there should be equal opportunities for startups in all corners of a country to grow on a regional, a national or even a global arena. We know that brilliant ideas are out there and we are convinced that the combination of equity, network and coaching is the recipe to carry those ideas to be viable businesses and begin stellar growth journeys.",Privately Held,,0-1 employees,"marketing, marketing strategy, communications, public relations, tech coaching, growth, team building, seed investments",0,,,,"E-Commerce, FinTech, , Payments",B2B
Adamo Gestionale,,,,Italy,"torino, To, Italy",http://www.adamogestionale.it,2,58,2014,Computer Software,https://www.linkedin.com/company/adamo-lab,"Adamo è una piattaforma gestionale in cloud dedicata a professionisti, piccole imprese e startup.

Permette di gestire tutta la parte amministrativa di una piccola attività: dalla semplice fatturazione, fino ad arrivare alla gestione dei contatti e del magazzino

Adamo vuole fornire uno strumento unico e universale per poter supportare i piccoli imprenditori e i loro collaboratori in tutte le attività che compiono quotidianamente: produrre e ordinare la propria fatturazione, tracciamento delle vendite, comunicazione e collaborazione tra i colleghi, gestione degli impegni, del tempo e gestione documentale. 

Accessibile ovunque, su qualsiasi dispositivo, con un'interfaccia intuitiva e immediata, Adamo vuole essere il principale e il più fidato aiuto per il piccolo imprenditore, facendogli risparmiare tempo ed energie perché possa dedicarle a ciò che è veramente importante.",Privately Held,,2-10 employees,,0,"Tawk.to, Google AdWords, Zendesk",,,"Internet, Information Technology, Software, Internet of Things,",B2B
Printeurope.com,,,,Finland,Finland,http://www.printeurope.com,0,0,,Marketing and Advertising,https://www.linkedin.com/company/printeurope-com,"Printeurope.com is a marketing and advertising company based out of Espoo, Finland.",,,11-50 employees,,0,,,,"Printing, Online Portals,",B2B
Tradalaxy,,Toronto,Ontario,Canada,"Toronto, Ontario",http://tradalaxy.com,5,24,2017,International Trade and Development,https://www.linkedin.com/company/tradalaxy,"Tradalaxy is an online B2B platform for small and medium-sized firms to trade internationally and for procurement teams to source globally. The platform will enable companies of all types to take advantage of and comply with pioneering international trade agreements (incl. CETA, CUFTA, CPTPP, Canada- Korea, 
EU-Colombia/Peru/Ecuador, MERCOSUR-Chile/Mexico) and fully realize the opportunities of the global marketplace. 

Full-service marketplace, automated sourcing procedures, trade agreements compliance, supplier verification, freight booking, safe payment solutions, AI trade data analytics, virtual trade show. Developed for socially responsible and innovative companies by international trade experts to connect businesses globally.",Privately Held,,11-50 employees,,0,"Intercom, Sendgrid, LinkedIn Ads, Mailgun",,,"Marketplace, E-Commerce, , E-Commerce Platforms",B2B
OWCareers,,Dubai,Dubai,United Arab Emirates,Dubai,http://www.owcareers.com,45,11938,2014,Human Resources,https://www.linkedin.com/company/owcareers,This is World's first and only job portal that offers Virtual Assistant (VA) to search and apply on jobs of your interest on your behalf. It is the greatest advancement in recruitment history.,Privately Held,,11-50 employees,"Finance Jobs, Recruitment, Jobs, Accounting Jobs, Overseas Recruitment, Employment, Hiring, Careers, HR Jobs, Overseas Jobs, Human Resources Jobs, Jobs Posting, Admin Jobs",0,"Google AdSense, Tawk.to",,,"Internet, Recruiting, Human Resources, E-Commerce, Online Portals, Internet of Things,",B2B
Able Entrepreneurs,,Toronto,Ontario,Canada,"Toronto, ON, Canada",http://www.AbleEntrepreneurs.com,0,10,2014,Professional Training & Coaching,https://www.linkedin.com/company/able-entrepreneurs,"Our mission is to serve entrepreneurs and lead them to success. We strive to help achieve your goals by educating and enabling you to grow your venture. We are excited to deliver great content, host events,  meetups, workshops, seminars and support business owners. Able Entrepreneurs brings you expert advice from successful entrepreneurs around the globe that we can get hold of because success leaves clues. We also share stories of these entrepreneurs and how they faced the common or even unusual challenges and made it.

Let's work together for your goals!.",Privately Held,,2-10 employees,"business development training, community of entrepreneurs, workshops, coaching, business networking, partnerships, venture capital, business content publishing",0,,,,,B2B
ShopKetti,,New York,New York,United States,"New York, New York",http://shopketti.com,3,29,2014,Wholesale,https://www.linkedin.com/company/shop-ketti,"We created a wholesale platform for small business. 

Our main service - the wholesale marketplace - lets retailers order directly from manufacturers, removing distributors from the distribution process. Our marketplace and secondary sales platform, Merchant, allow us to collect valuable wholesale data on a regional, state, city, and zip code basis.",Partnership,,2-10 employees,"Data, Small Business, Wholesale, Software, Supply-Chain Management, and Analytics",0,"Intercom, Mailgun",,,"SaaS, , Wholesale",B2B
Gumdrop,645253,Seattle,Washington,United States,"Seattle, Washington",http://www.gumdropcases.com,27,616,2010,Consumer Goods,https://www.linkedin.com/company/gumdrop-cases,"Gumdrop | 615 followers on LinkedIn. Because devices don't bounce. | Gumdrop was established with one main goal: To bring device protection to the masses in a stylish way. As soon as the latest and greatest tech device hits the streets, Gumdrop is always on top of the game, and is the first to deliver the hippest, most rugged and protective device accessories around. We strive to bring device protection to the masses, one case at a time.",Privately Held,,11-50 employees,", , Tablet Cases, Electronic accessories",0,"HubSpot, MailChimp, Shopify, YouTube",,,"Electronics, Consumer Goods, Product Design, ,",B2B B2C
Military Job Networks,,Washington,District of Columbia,United States,"Washington, D.C.",http://www.militaryjobnetworks.com,2,171,2013,Staffing and Recruiting,https://www.linkedin.com/company/military-job-networks,"Military Job Networks (MJN) is an online networking platform created exclusively for verified U.S. Military Veterans. With 3,600 online private military occupation groups, veterans access a private space for true peer-to-peer networking and knowledge sharing.  Post questions, give career advice, view other member profiles, and apply to relevant jobs. 

It is free to join for all veterans. 

Join The Vet Network today!",Privately Held,,2-10 employees,"Recruitment, Social Networking, Advice, Military, Veteran, Job, employement, and career",0,,,,"Internet, Recruiting, Human Resources, Social Media, Employment, National Security,",B2B
#TchauCarro,,,,,,https://tchaucarro.com,0,0,2017,Computer Software,https://www.linkedin.com/company/tchaucarro,"Somos uma plataforma gratuita que conecta quem quer vender ou trocar seu carro diretamente à milhares de lojas evitando intermediários e tentando garantir o melhor negócio para ambas as partes.

Nós disponibilizamos o anúncio de quem quer vender ou trocar seu carro somente à lojas credenciadas com acesso a nossa plataforma. Não somos uma loja intermediária e sim uma plataforma que usa a tecnologia ajudando a você fazer o melhor negócio.",Partnership,,,,0,,,,"Automotive, E-Commerce, Computer, Online Auctions,",B2C
WayHome,,Sydney,New South Wales,Australia,"Sydney, New South Wales, Australia",http://www.spacee.com.au,0,45,2017,Internet,https://www.linkedin.com/company/wayhomeau,"Spacee is an online listing platform focusing on accessible accommodation. Users can join Spacee to search for an accessible property, connect with the lister and apply directly using the platform. Listers have access to a dashboard with tools to manage their listings, review each application and connect with the user.",Privately Held,,2-10 employees,"Real Estate, Property, Medical, Health, NDIS, SDA, Listing Platform, and Insurance",35000,,,,"Software, Real Estate, Property Management,",B2B
American Cotton Careers and Current Employee Profiles,,New York,New York,United States,"New York, NY",https://americancotton.com/,19,45,2017,Consumer Goods,https://www.linkedin.com/company/american-cotton-usa,"American Cotton | 47 followers on LinkedIn. 100% American-made luxury bedding and towels without the luxury price tag. | American-grown. American-sewn.
It wasn’t easy to make it happen, but we’re proud to say that our bedding and towels are 100% made in America.",Privately Held,,2-10 employees,"Ecommerce, Home Decor, Bedding, Textiles, American Made, Towels, Affordable Luxury, Bed Sheets, Perfect Fit, Bath Towels, Sheet Sets, 100% Made in America, Luxury Bedding, sleep better, and Bedroom, American Cotton, Cool Flow Cotton, Helping American Veterans, Luxury Sheets, Quality Bedding, Soft Bedding, US Grown Cotton",750000,,,,"E-Commerce, Lifestyle,",B2C
Bambú,,Madrid,Community of Madrid,Spain,"Madrid, Comunidad de Madrid, Spain",https://appbambu.com,3,89,2018,Internet,https://www.linkedin.com/company/appbambu,"Bambú is an app for meditation and mindfulness. This app teaches you the basics of meditation, but also offers sessions for the more advanced meditators amongst us. It has sessions related to specific topics like focus, anxiety and depression. You can choose to meditate for 3 minutes up to 20 minutes, it's up to you!",Partnership,,2-10 employees,"mindfulness, meditación, atención plena, meditation",0,"Nodejs, Amazon SES, Mailgun",,,"Mobile, Wellness, ,",B2B B2C
SITY,,São Paulo,State of São Paulo,Brazil,"São Paulo, São Paulo",https://sityinc.com,16,696,2017,Information Technology and Services,https://www.linkedin.com/company/sityinc,"SITY INC o seu novo aplicativo de mobilidade.

Somos uma empresa 100% brasileira, com foco total na sua experiência, tanto dos passageiros, como a de nossos motoristas.

“Cuidamos bem dos motoristas, para eles cuidarem ainda melhor dos passageiros"".

O nosso objetivo é que as nossas corridas, sejam cada vez mais seguras para todos, além de serem mais econômicas para os passageiros e muito mais rentável para os nossos motoristas parceiros. 

#AgoraVoudeSITY",Self Owned,,51-200 employees,"Mobilidade Urbana, Transporte Individual de passageiros, and Transportes de encomendas",0,"Amazon S3, Firebase",,,"Logistics, , Smart Cities, , Transportation",B2B B2C
HunterCo,,Joinville,State of Santa Catarina,Brazil,"Joinville, Santa Catarina",https://www.hunterco.com.br,35,8358,2015,Information Technology and Services,https://www.linkedin.com/company/hunterco,"Somos um ecossistema de recrutamento e seleção colaborativo.

Ajudamos empresas a reduzir tempo e custo no processo de recrutamento.

Sua empresa tem alguma dificuldade com contratação profissional, entre em contato conosco e faça um diagnóstico gratuito: falecom@hunterco.com.br

Todos os nossos contatos e conteúdos estão aqui: https://linktr.ee/hunterco",Public Company,,11-50 employees,"Recursos Humanos, Talentos, Recrutamento e Seleção, RH, Marketing, Recrutamento, Tecnologia, TI, Carreira, Startup, Machine Learning, Vendas, Vagas, Customer Success, Inteligência Artificial, Comportamental, Colaboração, HRTech, Competências, RHTech",0,"Amazon Web Services, Vue.js, Vuejs, Sendgrid, Amazon Route 53",,,"Human Resources, Social Recruiting, Professional Services,",B2B
